depth "temperature (K)" "grain size (m)"
652.84 244.646140860472 0.003041464361381
674.39 244.664994002962 0.003035423852689
674.48 244.665072739984 0.003794475908446
674.57 244.665151477006 0.004020847394168
674.66 244.665230214028 0.003420010968017
674.75 244.66530895105 0.003497127210816
674.84 244.665387688072 0.003304947264397
717.84 244.703006487472 0.003817308556775
717.93 244.703085224494 0.004053583389628
718.02 244.703163961516 0.003454969134135
718.11 244.703242698538 0.004269107420444
718.2 244.70332143556 0.003527606368413
718.29 244.703400172582 0.003751160730846
739.84 244.722253315072 0.003738189220917
739.93 244.722332052094 0.003417416976973
740.02 244.722410789116 0.003360960267087
740.11 244.722489526138 0.00323340983194
740.2 244.72256826316 0.004111451993119
740.29 244.722647000182 0.003936167603153
755.79 244.736207265082 0.003736588042541
755.88 244.736286002104 0.003469550347483
755.97 244.736364739126 0.003657846054148
756.06 244.736443476148 0.004028819310944
756.15 244.73652221317 0.0033686587886
756.24 244.736600950192 0.003418081956255
783.84 244.760746970272 0.003694179667035
783.93 244.760825707294 0.004128063800716
784.02 244.760904444316 0.004128140908757
784.11 244.760983181338 0.003297594243779
784.2 244.76106191836 0.003524900116272
784.29 244.761140655382 0.00328125793662
822.34 244.794428918572 0.003641204567623
822.43 244.794507655594 0.003400946789742
822.52 244.794586392616 0.003599494170473
822.61 244.794665129638 0.003484843369923
822.7 244.79474386666 0.004267019195371
822.79 244.794822603682 0.00420868790699
849.84 244.818487453072 0.003571279955368
849.93 244.818566190094 0.003844975812906
850.02 244.818644927116 0.00418570879391
850.11 244.818723664138 0.003708747335931
850.2 244.81880240116 0.003368036976624
850.29 244.818881138182 0.003727974195545
888.34 244.852169401372 0.003406071906197
888.43 244.852248138394 0.003764273577917
888.52 244.852326875416 0.003507477296905
888.61 244.852405612438 0.003712813297081
888.7 244.85248434946 0.003303084042837
888.79 244.852563086482 0.003911783160726
921.34 244.881039642772 0.003637636130314
921.43 244.881118379794 0.003280235307753
921.52 244.881197116816 0.003453894719194
921.61 244.881275853838 0.002995067772004
921.7 244.88135459086 0.003660247049253
921.79 244.881433327882 0.003312971965147
970.84 244.954345004872 0.003464441959333
970.93 244.954423741894 0.003584997529778
971.02 244.954502478916 0.003382074446671
971.11 244.954581215938 0.003137094994526
971.2 244.95565995296 0.003441909753673
971.29 244.955738689982 0.003722385884018
997.79 245.021922368682 0.003310353715127
997.88 245.022001105704 0.003854682628065
997.97 245.022079842726 0.003374721581967
998.15 245.02223731677 0.003368753278853
998.24 245.022316053792 0.002923116269592
1025.84 245.046462073872 0.004160078588669
1025.93 245.046540810894 0.003591863257265
1026.02 245.046619547916 0.003028366619876
1026.11 245.046698284938 0.003021657410709
1026.2 245.04677702196 0.002843858024127
1026.29 245.046855758982 0.003163623854398
1036.29 245.055604316982 0.003761194306293
1036.38 245.055683054004 0.003187194795645
1036.47 245.055761791026 0.003465920897528
1036.56 245.055840528048 0.003993266755705
1036.65 245.05591926507 0.003843584757704
1036.74 245.055998002092 0.003632399586249
1042.34 245.076897194572 0.003174024496337
1042.43 245.077975931594 0.003420848520369
1042.52 245.078054668616 0.003198291175933
1042.61 245.078133405638 0.003111395833593
1042.7 245.07921214266 0.003546779510932
1042.79 245.079290879682 0.003659412099197
1047.84 245.100708901472 0.002902256147104
1047.93 245.100787638494 0.003584429232384
1048.02 245.100866375516 0.003688557414922
1048.11 245.101945112538 0.003725377613285
1048.2 245.10202384956 0.003695713090093
1048.29 245.102102586582 0.004187442302675
1069.84 245.158955729072 0.003171580591076
1070.02 245.159113203116 0.003370782289988
1070.11 245.159191940138 0.003740368446764
1070.2 245.15927067716 0.003493506365598
1097.89 245.218495434262 0.003556741704575
1097.98 245.219574171284 0.003258037307725
1098.07 245.219652908306 0.003579701768315
