#Points_Magnitude  strain_rate_tensor_Magnitude  velocity_Magnitude
1.351  5.27262e-10  1.1452e-10
1.352  5.32051e-10  1.1494e-10
1.353  5.32051e-10  1.1536e-10
1.354  5.32051e-10  1.1578e-10
1.355  5.32051e-10  1.162e-10
1.356  5.32051e-10  1.16619e-10
1.357  5.32051e-10  1.17039e-10
1.358  5.32051e-10  1.17459e-10
1.359  5.32051e-10  1.17879e-10
1.36  5.44939e-10  1.18324e-10
1.361  5.44939e-10  1.18784e-10
1.362  5.44939e-10  1.19244e-10
1.363  5.44939e-10  1.19704e-10
1.364  5.44939e-10  1.20164e-10
1.365  5.44939e-10  1.20624e-10
1.366  5.44939e-10  1.21084e-10
1.367  5.44939e-10  1.21544e-10
1.368  5.53133e-10  1.22004e-10
1.369  5.53133e-10  1.22464e-10
1.37  5.53133e-10  1.22924e-10
1.371  5.53133e-10  1.23384e-10
1.372  5.53133e-10  1.23844e-10
1.373  5.53133e-10  1.24304e-10
1.374  5.53133e-10  1.24764e-10
1.375  5.53133e-10  1.25224e-10
1.376  5.65397e-10  1.25664e-10
1.377  5.65397e-10  1.26104e-10
1.378  5.65397e-10  1.26543e-10
1.379  5.65397e-10  1.26983e-10
1.38  5.65397e-10  1.27423e-10
1.381  5.65397e-10  1.27863e-10
1.382  5.65397e-10  1.28303e-10
1.383  5.6182e-10  1.28743e-10
1.384  5.6182e-10  1.29182e-10
1.385  5.6182e-10  1.29622e-10
1.386  5.6182e-10  1.30062e-10
1.387  5.6182e-10  1.30502e-10
1.388  5.6182e-10  1.30942e-10
1.389  5.6182e-10  1.31382e-10
1.39  5.6182e-10  1.31822e-10
1.391  5.90532e-10  1.32277e-10
1.392  5.90532e-10  1.32756e-10
1.393  5.90532e-10  1.33236e-10
1.394  5.90532e-10  1.33716e-10
1.395  5.90532e-10  1.34196e-10
1.396  5.90532e-10  1.34676e-10
1.397  5.90532e-10  1.35155e-10
1.398  5.90532e-10  1.35635e-10
1.399  5.925e-10  1.36115e-10
1.4  5.925e-10  1.36595e-10
1.401  5.925e-10  1.37075e-10
1.402  5.925e-10  1.37555e-10
1.403  5.925e-10  1.38034e-10
1.404  5.925e-10  1.38514e-10
1.405  5.925e-10  1.38994e-10
1.406  5.925e-10  1.39474e-10
1.407  6.12176e-10  1.39967e-10
1.408  6.12176e-10  1.40465e-10
1.409  6.12176e-10  1.40963e-10
1.41  6.12176e-10  1.41461e-10
1.411  6.12176e-10  1.41959e-10
1.412  6.12176e-10  1.42456e-10
1.413  6.12176e-10  1.42954e-10
1.414  6.12176e-10  1.43452e-10
1.415  6.1197e-10  1.4395e-10
1.416  6.1197e-10  1.44448e-10
1.417  6.1197e-10  1.44946e-10
1.418  6.1197e-10  1.45444e-10
1.419  6.1197e-10  1.45942e-10
1.42  6.1197e-10  1.46439e-10
1.421  6.1197e-10  1.46937e-10
1.422  6.32118e-10  1.47438e-10
1.423  6.32118e-10  1.47956e-10
1.424  6.32118e-10  1.48473e-10
1.425  6.32118e-10  1.48991e-10
1.426  6.32118e-10  1.49509e-10
1.427  6.32118e-10  1.50027e-10
1.428  6.32118e-10  1.50545e-10
1.429  6.32118e-10  1.51063e-10
1.43  6.28783e-10  1.51581e-10
1.431  6.28783e-10  1.52099e-10
1.432  6.28783e-10  1.52616e-10
1.433  6.28783e-10  1.53134e-10
1.434  6.28783e-10  1.53652e-10
1.435  6.28783e-10  1.5417e-10
