  6.09393819E+00 -1.87403876E+00  1.63776186E-02 -1.33395466E-01
  6.10880257E+00 -1.89413967E+00  1.54901821E-02 -1.34093678E-01
  6.12349805E+00 -1.91436439E+00  1.46071062E-02 -1.34776356E-01
  6.13802900E+00 -1.93470766E+00  1.37286827E-02 -1.35443873E-01
  6.15240003E+00 -1.95516421E+00  1.28551871E-02 -1.36096613E-01
  6.16661604E+00 -1.97572880E+00  1.19868778E-02 -1.36734968E-01
  6.18068213E+00 -1.99639622E+00  1.11239969E-02 -1.37359337E-01
  6.19460369E+00 -2.01716129E+00  1.02667699E-02 -1.37970128E-01
  6.20838632E+00 -2.03801883E+00  9.41540552E-03 -1.38567753E-01
  6.22203590E+00 -2.05896369E+00  8.57009642E-03 -1.39152631E-01
  6.23555852E+00 -2.07999074E+00  7.73101871E-03 -1.39725183E-01
  6.24896051E+00 -2.10109489E+00  6.89833219E-03 -1.40285835E-01
  6.26224844E+00 -2.12227104E+00  6.07218040E-03 -1.40835013E-01
  6.27542912E+00 -2.14351413E+00  5.25269060E-03 -1.41373148E-01
  6.28850956E+00 -2.16481909E+00  4.43997378E-03 -1.41900668E-01
  6.30149700E+00 -2.18618086E+00  3.63412465E-03 -1.42418004E-01
  6.31439892E+00 -2.20759440E+00  2.83522168E-03 -1.42925587E-01
  6.32722298E+00 -2.22905467E+00  2.04332707E-03 -1.43423844E-01
  6.33997707E+00 -2.25055659E+00  1.25848692E-03 -1.43913205E-01
  6.35266928E+00 -2.27209510E+00  4.80731369E-04 -1.44394095E-01
  6.36530789E+00 -2.29366510E+00 -2.89925052E-04 -1.44866938E-01
  6.37790140E+00 -2.31526148E+00 -1.05348291E-03 -1.45332157E-01
  6.39045846E+00 -2.33687906E+00 -1.80995710E-03 -1.45790170E-01
  6.40298794E+00 -2.35851265E+00 -2.55937585E-03 -1.46241395E-01
  6.41549886E+00 -2.38015697E+00 -3.30177934E-03 -1.46686244E-01
  6.42800042E+00 -2.40180670E+00 -4.03721802E-03 -1.47125127E-01
